pos,neu,neg
0.072,0.928,0
0.137,0.863,0
0,1,0
0,0.883,0.117
0.224,0.776,0
0.073,0.927,0
0,1,0
0.118,0.882,0
0,1,0
0,1,0
0,1,0
0.095,0.905,0
0.096,0.904,0
0.055,0.863,0.082
0.156,0.844,0
0,1,0
0.125,0.835,0.04
0.123,0.827,0.05
0.047,0.953,0
0.1,0.9,0
0.116,0.767,0.117
0.146,0.854,0
0.079,0.921,0
0.151,0.786,0.063
0.09,0.849,0.061
0.078,0.845,0.077
0,1,0
0,1,0
0.124,0.823,0.053
0.073,0.783,0.144
0.057,0.763,0.18
0.185,0.815,0
0.073,0.792,0.135
0.198,0.802,0
0.202,0.572,0.226
0.111,0.829,0.06
0.229,0.771,0
0.061,0.882,0.057
0,1,0
0.1,0.775,0.125
0,0.786,0.214
0.122,0.754,0.124
0.121,0.879,0
0.06,0.94,0
0.146,0.808,0.046
0.088,0.798,0.115
0,0.951,0.049
0.034,0.898,0.068
0.14,0.763,0.098
0.096,0.783,0.121
0.106,0.786,0.108
0.106,0.777,0.117
0.066,0.863,0.07
0.183,0.817,0
0.249,0.625,0.126
0.161,0.696,0.143
0,0.962,0.038
0,0.855,0.145
0.251,0.749,0
0.064,0.936,0
0.121,0.879,0
0.115,0.766,0.119
0.104,0.791,0.105
0.063,0.937,0
0,0.821,0.179
0,1,0
0.027,0.903,0.07
0,1,0
0,0.948,0.052
0.261,0.642,0.097
0,0.885,0.115
0.109,0.851,0.04
0,0.878,0.122
0,1,0
0.123,0.877,0
0.07,0.869,0.061
0.257,0.696,0.046
0,1,0
0.143,0.857,0
0.126,0.771,0.104
0.152,0.688,0.16
0.249,0.751,0
0.122,0.788,0.09
0.115,0.603,0.282
0.273,0.727,0
0.042,0.743,0.214
0.162,0.797,0.04
0.062,0.837,0.101
0.142,0.788,0.071
0.128,0.872,0
0.349,0.6,0.051
0.054,0.801,0.145
0.232,0.72,0.048
0.179,0.821,0
0.118,0.85,0.032
0.259,0.741,0
0.26,0.74,0
0.06,0.94,0
0,0.747,0.253
0.093,0.694,0.213
0.034,0.857,0.108
0.234,0.644,0.122
0,1,0
0,0.886,0.114
0,0.882,0.118
0.26,0.74,0
0.144,0.856,0
0,0.943,0.057
0.108,0.749,0.143
0.239,0.683,0.079
0.067,0.933,0
0,1,0
0.208,0.792,0
0.284,0.631,0.085
0.186,0.704,0.11
0,0.939,0.061
0.274,0.617,0.11
0.073,0.781,0.146
0.124,0.757,0.119
0,0.904,0.096
0.144,0.609,0.247
0.066,0.818,0.116
0,0.717,0.283
0,0.794,0.206
0.366,0.634,0
0.144,0.701,0.156
0,1,0
0.224,0.65,0.126
0.284,0.716,0
0.273,0.596,0.13
0.177,0.739,0.084
0.107,0.773,0.119
0.121,0.806,0.073
0.198,0.702,0.099
0.117,0.648,0.235
0.061,0.939,0
0.047,0.772,0.182
0,0.809,0.191
0,1,0
0.055,0.797,0.148
0.288,0.712,0
0.114,0.767,0.118
0.068,0.932,0
0.203,0.797,0
0,1,0
0.047,0.953,0
0.166,0.834,0
0.103,0.897,0
0.162,0.477,0.361
0.109,0.725,0.166
0,0.785,0.215
0.135,0.478,0.387
0.203,0.616,0.181
0.173,0.656,0.171
0.085,0.717,0.198
0.078,0.763,0.159
0.311,0.549,0.141
0.388,0.612,0
0.148,0.657,0.195
0,0.805,0.195
0.131,0.729,0.14
0.179,0.687,0.134
0.113,0.742,0.145
0,0.897,0.103
0.114,0.6,0.286
0.246,0.754,0
0,0.86,0.14
0,0.763,0.237
0.228,0.692,0.08
0,0.654,0.346
0,0.89,0.11
0,0.859,0.141
0.12,0.822,0.059
0.14,0.751,0.109
0.157,0.749,0.094
0,0.789,0.211
0.165,0.835,0
0,0.854,0.146
0,0.781,0.219
0,0.845,0.155
0,0.903,0.097
0.156,0.676,0.167
0,1,0
0.056,0.874,0.07
0.135,0.598,0.266
0,0.498,0.502
0,0.63,0.37
0.122,0.508,0.37
0,0.481,0.519
0.207,0.691,0.102
0,0.698,0.302
0,0.732,0.268
0,1,0
0.137,0.602,0.261
0,1,0
0,1,0
0.137,0.543,0.32
0.169,0.831,0
0.127,0.873,0
0.159,0.841,0
0.258,0.647,0.095
0.074,0.926,0
0,0.751,0.249
0.267,0.62,0.113
0.375,0.625,0
0,0.848,0.152
0.169,0.774,0.057
0,0.801,0.199
0.084,0.916,0
0.311,0.689,0
0.197,0.542,0.261
0.16,0.84,0
0.198,0.716,0.087
0.119,0.648,0.233
0.325,0.546,0.129
0.145,0.822,0.033
0,1,0
0.085,0.839,0.075
0.176,0.824,0
0.286,0.714,0
0.166,0.834,0
0.342,0.604,0.054
0,1,0
0.039,0.859,0.102
0,0.964,0.036
0.203,0.797,0
0.19,0.511,0.299
0,0.877,0.123
0.125,0.755,0.121
0.274,0.726,0
0.113,0.701,0.186
0,0.788,0.212
0.116,0.809,0.075
0.212,0.788,0
0.063,0.937,0
0,1,0
0,0.698,0.302
0.104,0.896,0
0.084,0.609,0.308
0.082,0.723,0.195
0,1,0
0.168,0.832,0
0.14,0.86,0
0.148,0.613,0.24
0.208,0.531,0.261
0.098,0.902,0
